id,category,english,korean
exp_001,Daily & Casual,"Don't be intimidated.","겁먹지 마세요."
exp_002,Daily & Casual,"Are you down? / Are you up for it?","할 마음이 있어? 할래?"
exp_003,Idioms & Slang,"Cut to the chase / Get to the point.","본론으로 들어가."
exp_004,Idioms & Slang,"It's worth a try / It's worth a shot.","한번 시도해 볼 만해."
exp_005,Daily & Casual,"Now we're even.","이제 퉁이야."
exp_006,Idioms & Slang,"Let me level with you.","솔직히 말할게."
exp_007,Daily & Casual,"Just so you know.","참고로 말하자면."
exp_008,Work & Business,"I'll get right on it / I'm on it.","그거 곧 할게, 처리할게."
exp_009,Travel & Commute,"How do I get to Maple Lane?","메이플 레인으로 어떻게 가나요?"
exp_010,Feelings & Mindset,"I'm happy for you.","너 잘돼서 내가 기뻐, 축하해."
exp_011,Daily & Casual,"Let me show you something else.","제가 다른 걸 하나 보여 드리겠습니다."
exp_012,Feelings & Mindset,"I have to admit, I hope that you win.","솔직히 인정해야겠어, 네가 이기길 바라고 있어."
exp_013,Daily & Casual,"Don't be a stranger.","소식 끊지 말고 자주 연락해."
exp_014,Work & Business,"I'll leave it to you.","그럼 맡길게, 알아서 하세요."
exp_015,Daily & Casual,"Don't work too hard.","너무 무리하지 마."
exp_016,Feelings & Mindset,"I'm flattered.","과분한 칭찬이야."
exp_017,Feelings & Mindset,"I'm glad you came to your senses.","네가 정신 차려서 다행이야."
exp_018,Feelings & Mindset,"You made my day.","덕분에 하루가 행복해졌어."
exp_019,Travel & Commute,"Where to?","어디로 모셔다 드릴까요?"
exp_020,Daily & Casual,"Can I ask you a quick question?","짧게 하나만 물어봐도 될까요?"
exp_021,Dining & Cafe,"The price is right.","가격이 적당해요."
exp_022,Daily & Casual,"Stay-at-home mom.","전업주부."
exp_023,Dining & Cafe,"Let's grab lunch sometime.","언제 한번 같이 점심 먹자."
exp_024,Feelings & Mindset,"I hope you get better.","네가 회복하길 바래."
exp_025,Daily & Casual,"Does this come in other colors?","이거 다른 색상도 있나요?"
exp_026,Daily & Casual,"Get home safe.","집에 조심히 들어가."
exp_027,Dining & Cafe,"Let's grab dinner.","저녁 같이 먹자."
exp_028,Daily & Casual,"You look great.","너 멋져 보여."
exp_029,Feelings & Mindset,"I love your vibe.","당신의 분위기 마음에 들어."
exp_030,Travel & Commute,"Thanks for the ride.","태워줘서 고마워."
exp_031,Dining & Cafe,"Cooking is better when I'm tipsy.","내가 살짝 취했을 때 요리가 더 잘돼."
exp_032,Daily & Casual,"Don't be silly.","바보 같은 소리 하지 마."
exp_033,Daily & Casual,"Can I join you?","나도 같이 해도 돼요?"
exp_034,Daily & Casual,"My parents got divorced when I was young.","내가 어렸을 때 부모님이 이혼하셨어요."
exp_035,Daily & Casual,"You might want to check it out.","한번 확인해 보는 게 좋을 거야."
exp_036,Idioms & Slang,"You nailed it.","완벽하게 해냈네."
exp_037,Work & Business,"I'll work for you instead.","대신에 내가 당신을 위해 일할게요."
exp_038,Daily & Casual,"I have a dog that I adore.","나는 정말 사랑하는 개가 있어."
exp_039,Idioms & Slang,"I could get used to this.","이런 건 마음에 드네 (이 호사에 익숙해지겠어)."
exp_040,Dining & Cafe,"Are you ready to order?","주문하시겠어요?"
exp_041,Dining & Cafe,"What do you recommend?","추천해 주실 만한 게 있나요?"
exp_042,Dining & Cafe,"I'll have the steak, thank you.","스테이크 주세요."
exp_043,Dining & Cafe,"Can I get the check, please?","계산서 좀 주시겠어요?"
exp_044,Daily & Casual,"Did you get a chance to read my book?","내 책 읽어볼 기회 있었어?"
exp_045,Idioms & Slang,"Hear me out.","내 말 좀 끝까지 들어봐."
exp_046,Daily & Casual,"Don't take this the wrong way, but you're very worldly.","기분 나쁘게 듣지 마, 근데 너 되게 속세적이야."
exp_047,Daily & Casual,"I'm looking forward to having you back in class.","네가 다시 수업에 오는 걸 기대하고 있어."
exp_048,Feelings & Mindset,"It's not your fault.","이건 네 잘못이 아니야."
exp_049,Daily & Casual,"I was instructed to give you this ring.","이 반지를 너에게 전해주라는 지시를 받았어."
exp_050,Daily & Casual,"Save that for the wedding.","그건 결혼식 때를 위해 아껴둬."
exp_051,Work & Business,"I get off work at 7.","나는 7시에 퇴근해."
exp_052,Daily & Casual,"I'm dying to live in LA.","죽을 만큼 간절히 LA에서 살고 싶어."
exp_053,Dining & Cafe,"Can I get a cup of coffee?","커피 한 잔 주시겠어요?"
exp_054,Dining & Cafe,"What can I get started for you?","무엇부터 준비해 드릴까요?"
exp_055,Dining & Cafe,"Do you want that?","그거 원하세요?"
exp_056,Dining & Cafe,"How would you like your steak cooked?","그 스테이크는 어떻게 구워드릴까요?"
